"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12";"Moisture Sensor";1;"C_Variable";;;
2;"U2";"Ai-Thinker-Ra-01-LoRa";1;"Ai-Thinker-Ra-01";;;
3;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32L051C8Tx";;;
4;"C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470n";;;
5;"Y2";"Crystal_Round_D1.0mm_Vertical";1;"32.768 kHz";;;
6;"TH1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"Thermistor";;;
7;"C1,C2,C3,C8,C15";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100n";;;
8;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"10u";;;
9;"C5";"CP_Radial_D5.0mm_P2.00mm";1;"1u";;;
10;"C6,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20p";;;
11;"C7,C13,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"660n";;;
12;"C11,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10p";;;
13;"D1,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
14;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
15;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Bridged12";;;
16;"R1,R7,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
17;"R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"330";;;
18;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
19;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"390";;;
20;"R6,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"180k";;;
21;"R8";"R_Box_L8.4mm_W2.5mm_P5.08mm";1;"HR202";;;
22;"SW1";"BUTTON_5mm";1;"SW_Push";;;
23;"Y1";"Crystal_HC49-U_Vertical";1;"8 MHz";;;
24;"J1,J3";"PinHeader_1x02_P2.54mm_Vertical";2;"Screw_Terminal_01x02";;;
25;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"TestPoints";;;
26;"REF**";"Fiducial_classic_Small_CopperTop_Type1";1;"Fiducial_classic_Small_CopperTop_Type1";;;
27;"REF**";"Fiducial_classic_Small_CopperBottom_Type1";1;"Fiducial_classic_Small_CopperBottom_Type1";;;
